date,sample.bout,Transect,baseline,baseline.rep,Number of Points Along Transect_fromRick,Number of points along transect_ChrissyCalc,Transect_Length,Transect Point,Bank_Location,Hit Number,Family,Species Hit,Surface Hit,Transect Point Soil Surface,VegHit_SoilSurfaceHit,Longevity,Longevity_2,Habit,FunctionalGroup,FunctionalGroup2,Nativity,Cvalue,WIS_WMVC,WIS_GP,WIS_Grouped
5/27/2020,1,B10-50,B10,5,28,28,6.75,0,upper,1,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/29/2020,1,B15-50,B15,5,24,24,5.75,1,upper,1,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
6/30/2020,2,B13-25,B13,3,17,23,5.5,0,upper,1,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
6/30/2020,2,B13-25,B13,3,17,23,5.5,0.25,upper,1,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
6/30/2020,2,B13-25,B13,3,17,23,5.5,0.5,upper,2,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
6/30/2020,2,B13-50,B13,5,20,31,7.5,0,upper,1,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
6/30/2020,2,B13-50,B13,5,20,31,7.5,0.25,upper,1,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
6/30/2020,2,B13-50,B13,5,20,31,7.5,0.5,upper,1,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
7/1/2020,2,B14-50,B14,5,18,33,8,0,upper,1,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
7/1/2020,2,B14-50,B14,5,18,33,8,0.25,upper,1,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
7/1/2020,2,B14-50,B14,5,18,33,8,0.5,upper,1,Poaceae,Agropyron cristatum,NULL,litter,Agropyron cristatum,Perennial,Long-lived,Graminoid,PG,Long-lived Graminoid,Introduced,0,UPL,UPL,FACU-UPL
5/28/2020,1,B14-25,B14,3,41,41,10,8,lower,1,Asteraceae,Ambrosia trifida,NULL,bare soil,Ambrosia trifida,Annual,Short-lived,Forb,AF,Short-lived Forb,Native,0,FAC,FAC,FAC
5/28/2020,1,B14-50,B14,5,18,18,4.25,3.75,lower,1,Asteraceae,Ambrosia trifida,NULL,bare soil,Ambrosia trifida,Annual,Short-lived,Forb,AF,Short-lived Forb,Native,0,FAC,FAC,FAC
5/29/2020,1,B15-0,B15,1,36,36,8.75,5,middle,2,Asteraceae,Ambrosia trifida,NULL,bare soil,Ambrosia trifida,Annual,Short-lived,Forb,AF,Short-lived Forb,Native,0,FAC,FAC,FAC
5/29/2020,1,B15-0,B15,1,36,36,8.75,5.75,middle,1,Asteraceae,Ambrosia trifida,NULL,bare soil,Ambrosia trifida,Annual,Short-lived,Forb,AF,Short-lived Forb,Native,0,FAC,FAC,FAC
5/29/2020,1,B17-50,B17,5,26,26,6.25,4.5,lower,1,Asteraceae,Ambrosia trifida,NULL,bare soil,Ambrosia trifida,Annual,Short-lived,Forb,AF,Short-lived Forb,Native,0,FAC,FAC,FAC
5/29/2020,1,B17-25,B17,3,24,24,5.75,2.5,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
5/29/2020,1,B17-25,B17,3,24,24,5.75,3,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
5/29/2020,1,B17-25,B17,3,24,24,5.75,3.5,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
5/29/2020,1,B17-25,B17,3,24,24,5.75,4.75,lower,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
5/29/2020,1,B17-37.5,B17,4,24,24,5.75,3.25,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-12.5,B17,2,25,31,7.5,3,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-12.5,B17,2,25,31,7.5,3.5,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-12.5,B17,2,25,31,7.5,3.75,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-12.5,B17,2,25,31,7.5,4,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-25,B17,3,24,28,6.75,5.25,lower,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-25,B17,3,24,28,6.75,5.5,lower,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-37.5,B17,4,24,28,6.75,2.75,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-37.5,B17,4,24,28,6.75,3,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-37.5,B17,4,24,28,6.75,3.25,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-37.5,B17,4,24,28,6.75,4,middle,1,Apocynaceae,Apocynum cannabinum,NULL,litter,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
7/2/2020,2,B17-37.5,B17,4,24,28,6.75,5.5,lower,1,Apocynaceae,Apocynum cannabinum,NULL,bare soil,Apocynum cannabinum,Perennial,Long-lived,Forb,PF,Long-lived Forb,Native,2,FAC,FAC,FAC
