date,sample.bout,Transect,baseline,baseline.rep,Number of Points Along Transect_fromRick,Number of points along transect_ChrissyCalc,Transect_Length,Transect Point,Bank_Location,Hit Number,Species Hit,Surface Hit,Transect Point Soil Surface,VegHit_SoilSurfaceHit,Longevity,Longevity_2,Habit,FunctionalGroup2,FunctionalGroup,Nativity,Cvalue,WIS_WMVC,WIS_GP,WIS_Grouped
5/29/20,1,B15-14,B15,2,53,53,13,0,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,AF,Native,0,FAC,FAC,FAC
5/29/20,1,B15-14,B15,2,53,53,13,0.25,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,AF,Native,0,FAC,FAC,FAC
5/29/20,1,B15-14,B15,2,53,53,13,0.5,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,AF,Native,0,FAC,FAC,FAC
5/29/20,1,B15-14,B15,2,53,53,13,0.75,upper,2,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,AF,Native,0,FAC,FAC,FAC
5/29/20,1,B15-14,B15,2,53,53,13,1,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,AF,Native,0,FAC,FAC,FAC
5/29/20,1,B15-25,B15,3,41,41,10,0,upper,2,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
5/29/20,1,B15-25,B15,3,41,41,10,0.25,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
5/29/20,1,B15-25,B15,3,41,41,10,0.75,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
5/29/20,1,B15-37.5,B15,4,27,27,6.5,0,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
5/29/20,1,B15-37.5,B15,4,27,27,6.5,0.25,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
7/1/20,2,B15-37.5,B15,4,27,22,5.25,0,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
5/29/20,1,B15-50,B15,5,24,24,5.75,0,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
5/29/20,1,B15-50,B15,5,24,24,5.75,0.25,upper,2,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
5/29/20,1,B17-12.5,B17,2,25,25,6,2.25,middle,2,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
6/29/20,2,B3-10,B3,2,37,41,10,0.5,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
5/27/20,1,B10-12.5,B10,2,28,28,6.75,3,middle,1,Chenopodium album,NA,litter,Chenopodium album,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,2,FAC,FAC,FAC
5/29/20,1,B15-14,B15,2,53,53,13,0,upper,2,Chorispora tenella,NA,litter,Chorispora tenella,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,2,FAC,FAC,FAC
5/29/20,1,B15-14,B15,2,53,53,13,1,upper,2,Chorispora tenella,NA,litter,Chorispora tenella,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,2,FAC,FAC,FAC
5/29/20,1,B15-25,B15,3,41,41,10,0.5,upper,1,Chorispora tenella,NA,litter,Chorispora tenella,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,2,FAC,FAC,FAC
5/27/20,1,B10-25,B10,3,41,41,10,3.75,middle,1,Conyza canadensis,NA,bare soil,Conyza canadensis,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,2,FAC,FAC,FAC
5/28/20,1,B14-0,B14,1,25,25,6,0.25,upper,1,Hordeum murinum,NA,litter,Hordeum murinum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PF,Native,2,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,7.75,middle,1,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,3,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,8,middle,2,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,3,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,8.25,middle,2,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,3,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,8.5,lower,1,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,3,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,8.75,lower,1,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,3,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,9.25,lower,2,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,3,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,9.75,lower,1,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,3,FAC,FAC,FAC
7/1/20,2,B14-25,B14,3,41,51,12.5,10.5,lower,2,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,3,FAC,FAC,FAC
6/30/20,2,B13-12.5,B13,2,17,28,6.75,3.25,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,W,Native,0,FAC,FAC,FAC
6/30/20,2,B13-12.5,B13,2,17,28,6.75,3.5,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,W,Native,0,FAC,FAC,FAC
6/30/20,2,B13-12.5,B13,2,17,28,6.75,3.75,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,W,Native,0,FAC,FAC,FAC
5/28/20,1,B13-25,B13,3,17,27,6.5,0,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,W,Native,0,FAC,FAC,FAC
5/28/20,1,B13-25,B13,3,17,27,6.5,0.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,PF,Native,3,FAC,FAC,FAC
6/30/20,2,B13-25,B13,3,17,23,5.5,2.75,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
6/30/20,2,B13-25,B13,3,17,23,5.5,3,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
6/30/20,2,B13-25,B13,3,17,23,5.5,3.25,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B13-35.5,B13,4,20,20,4.75,0,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B13-35.5,B13,4,20,20,4.75,0.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B13-35.5,B13,4,20,20,4.75,0.5,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B13-35.5,B13,4,20,20,4.75,0.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B13-35.5,B13,4,20,20,4.75,1,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B13-35.5,B13,4,20,20,4.75,1.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B13-35.5,B13,4,20,20,4.75,2,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B13-35.5,B13,4,20,20,4.75,2.25,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
5/28/20,1,B13-35.5,B13,4,20,20,4.75,2.5,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
6/30/20,2,B13-35.5,B13,4,20,25,6,0,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
6/30/20,2,B13-35.5,B13,4,20,25,6,0.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
6/30/20,2,B13-35.5,B13,4,20,25,6,0.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,VF,Introduced,0,FAC,FAC,FAC
