Org_trayID,Full_TrayID,Baseline,TrayID,Transect_ID,Bank_Location,Germinant ID,Family,Genus,Species,Specific Epithet_wconservative cf,SPECIFIC_EPITHET_FINAL,WIS_Grouped,WIS,Longevity_1,Longevity_2,Habit,Functional_Group_1,Functional_Group_2,Nativity,Cultivar_Noxious,C_Value,C_Value_2
18,B14_50_BOTTOM,B14,50,B14-50,Lower,G1,Asteraceae,Bidens,frondosa,Bidens frondosa,Bidens frondosa,FACW-OBL,FACW,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Native,NA,3,3
38,B10_25_MIDDLE,B10,25,B10-25,Middle,G1,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
65,B10_25_TOP,B10,25,B10-25,Upper,G4,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
65,B10_25_TOP,B10,25,B10-25,Upper,G5,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
70,B14_0_TOP,B14,0,B14-0,Upper,G4,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
70,B14_0_TOP,B14,0,B14-0,Upper,G5,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
73,B15_0_TOP,B15,0,B15-0,Upper,G1,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
73,B15_0_TOP,B15,0,B15-0,Upper,G10,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
73,B15_0_TOP,B15,0,B15-0,Upper,G2,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
73,B15_0_TOP,B15,0,B15-0,Upper,G3,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
