VegHit_SoilSurfaceHit,Longevity,Habit,WIS_GP,Nativity,Freq2,prop
Agropyron cristatum,Perennial,Graminoid,UPL,Introduced,2,0.00240096
Ambrosia trifida,Annual,Forb,FAC,Native,5,0.006002401
Apocynum cannabinum,Perennial,Forb,FAC,Native,5,0.006002401
Arctium minus,Biennial,Forb,FACU,Introduced,2,0.00240096
Artemisia ludoviciana,Perennial,Forb,UPL,Native,2,0.00240096
Asclepias speciosa,Perennial,Forb,FAC,Native,1,0.00120048
Bromus inermis,Perennial,Graminoid,UPL,Introduced,199,0.238895558
Bromus tectorum,Annual,Graminoid,UPL,Introduced,16,0.019207683
Carex emoryi,Perennial,Graminoid,OBL,Native,22,0.026410564
Carex sp.,Perennial,Graminoid,,Native,3,0.003601441
Celtis occidentalis,Perennial,Woody,FACU,Introduced,1,0.00120048
Chenopodium album,Annual,Forb,FACU,Introduced,1,0.00120048
Chorispora tenella,Annual,Forb,UPL,Introduced,3,0.003601441
Cirsium arvense,Perennial,Forb,FACU,Introduced,45,0.054021609
Convolvulus arvensis,Perennial,Forb,UPL,Introduced,38,0.045618247
Conyza canadensis,Annual,Forb,FACU,Introduced,1,0.00120048
Dactylis glomerata,Perennial,Graminoid,FACU,Introduced,34,0.040816327
Elymus repens,Perennial,Graminoid,FACU,Introduced,92,0.110444178
Euonymus europaeus,Perennial,Woody,,Introduced,3,0.003601441
Euphorbia esula,Perennial,Forb,UPL,Introduced,2,0.00240096
Fraxinus pennsylvanica,Perennial,Woody,FAC,Native,1,0.00120048
Glycyrrhiza lepidota,Perennial,Forb,FACU,Native,1,0.00120048
Hordeum murinum,Annual,Graminoid,FACU,Introduced,1,0.00120048
Juniperus scopulorum,Perennial,Woody,UPL,Native,2,0.00240096
Lactuca serriola,Variable,Forb,FAC,Introduced,6,0.007202881
Medicago lupulina,Annual,Forb,FACU,Introduced,1,0.00120048
Medicago sativa,Perennial,Forb,UPL,Introduced,12,0.014405762
Mentha spicata,Perennial,Forb,FACW,Introduced,3,0.003601441
Mirabilis nyctaginea,Perennial,Forb,UPL,Native,3,0.003601441
Parthenocissus vitacea,Perennial,Woody,FAC,Native,23,0.027611044
Persicaria sp.,Perennial,Forb,FACW,,6,0.007202881
Phalaris arundinacea,Perennial,Graminoid,FACW,Native,119,0.142857143
Plantago major,Perennial,Forb,FAC,Introduced,1,0.00120048
Poa bulbosa,Perennial,Graminoid,FACU,Introduced,1,0.00120048
Poa pratensis,Perennial,Graminoid,FACU,Introduced,6,0.007202881
Populus acuminata,Perennial,Woody,FAC,Native,1,0.00120048
Prunus tomentosa,Perennial,Woody,,Introduced,1,0.00120048
Prunus virginiana,Perennial,Woody,FACU,Native,9,0.010804322
Ranunculus sceleratus,Perennial,Forb,OBL,Native,1,0.00120048
Rhamnus cathartica,Perennial,Woody,FACU,Introduced,27,0.032412965
Rosa sp.,Perennial,Woody,,Introduced,3,0.003601441
Rumex crispus,Perennial,Forb,FAC,Introduced,10,0.012004802
Sagittaria sp.,Perennial,Forb,OBL,Native,2,0.00240096
Salix exigua ssp. exigua,Perennial,Woody,FACW,Native,2,0.00240096
Schedonorus arundinaceus,Perennial,Graminoid,FACU,Introduced,16,0.019207683
Schoenoplectus tabernaemontani,Perennial,Graminoid,OBL,Native,1,0.00120048
Scorzonera laciniata,Variable,Forb,UPL,Introduced,2,0.00240096
Solidago gigantea,Perennial,Forb,FAC,Native,2,0.00240096
Sonchus oleraceus,Annual,Forb,UPL,Introduced,1,0.00120048
Symphoricarpos occidentalis,Perennial,Woody,UPL,Native,14,0.016806723
Symphyotrichum lanceolatum ssp. hesperium,Perennial,Forb,FACW,Native,23,0.027611044
Taraxacum officinale,Perennial,Forb,FACU,Introduced,37,0.044417767
Tragopogon dubius,Variable,Forb,UPL,Introduced,3,0.003601441
Typha angustifolia,Perennial,Forb,OBL,Native,4,0.004801921
Typha latifolia,Perennial,Forb,OBL,Native,5,0.006002401
Ulmus pumila,Perennial,Woody,UPL,Introduced,5,0.006002401
Verbascum thapsus,Variable,Forb,UPL,Introduced,1,0.00120048
