Baseline,Transect,Total Hits,Hit by loc,Location,prop broine,prop phaaru,prop elyrep,prop conarv,prop cirarv,prop dacglo,prop caremo,prop rha cat,prop symlan,prop taroff,prop scharu,prop syocc,prop salexi,prop medsat,prop typang,prop ulmpum,prop brotec
B10,B10-0,29,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-0,29,4,middle,0.00,0.00,0.25,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-0,29,25,upper ,0.00,0.00,0.60,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-12.5,25,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-12.5,25,7,middle,0.86,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-12.5,25,18,upper ,0.94,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-25,42,2,lower,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-25,42,6,middle,0.00,0.33,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-25,42,34,upper ,0.38,0.00,0.24,0.00,0.00,0.35,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-37.5,64,4,lower,0.00,0.75,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-37.5,64,26,middle,0.00,0.31,0.42,0.08,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-37.5,64,34,upper ,0.00,0.00,0.41,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
B10,B10-50,16,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-50,16,0,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B10,B10-50,16,16,upper ,0.19,0.00,0.56,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-0,55,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-0,55,19,middle,0.05,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-0,55,36,upper ,0.14,0.00,0.25,0.06,0.03,0.00,0.00,0.00,0.22,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.03
B13,B13-12.5,29,2,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-12.5,29,9,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.56,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-12.5,29,18,upper ,0.00,0.00,0.11,0.28,0.00,0.00,0.00,0.06,0.06,0.11,0.06,0.00,0.00,0.33,0.00,0.00,0.00
B13,B13-25,9,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-25,9,0,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-25,9,9,upper ,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-35.5,16,3,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-35.5,16,2,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-35.5,16,11,upper ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-50,28,1,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-50,28,5,middle,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B13,B13-50,28,22,upper ,0.59,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B14,B14-0,32,6,lower,0.00,0.67,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B14,B14-0,32,7,middle,0.00,0.14,0.00,0.00,0.57,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B14,B14-0,32,19,upper ,0.00,0.00,0.47,0.05,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.05
B14,B14-12.5,54,13,lower,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B14,B14-12.5,54,26,middle,0.00,0.54,0.19,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B14,B14-12.5,54,15,upper ,0.00,0.00,0.40,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.07
B14,B14-25,37,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B14,B14-25,37,9,middle,0.33,0.22,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B14,B14-25,37,28,upper ,0.43,0.00,0.04,0.04,0.00,0.18,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.29,0.00
B14,B14-36.5,38,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B14,B14-36.5,38,9,middle,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.22,0.00
B14,B14-36.5,38,29,upper ,0.59,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.03,0.00
B14,B14-50,36,2,lower,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B14,B14-50,36,10,middle,0.00,0.00,0.10,0.00,0.00,0.50,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B14,B14-50,36,24,upper ,0.00,0.00,0.46,0.00,0.00,0.21,0.00,0.13,0.00,0.17,0.00,0.00,0.00,0.04,0.00,0.00,0.00
B15,B15-0,44,7,lower,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.43,0.00,0.00
B15,B15-0,44,17,middle,0.00,0.41,0.00,0.00,0.18,0.00,0.00,0.00,0.06,0.12,0.00,0.00,0.12,0.00,0.12,0.00,0.00
B15,B15-0,44,20,upper ,0.00,0.15,0.30,0.10,0.25,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.05,0.10,0.00,0.00,0.00
B15,B15-14,84,19,lower,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00
B15,B15-14,84,26,middle,0.04,0.77,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00
B15,B15-14,84,39,upper ,0.05,0.13,0.36,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.13
B15,B15-25,58,2,lower,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00
B15,B15-25,58,26,middle,0.00,0.88,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00
B15,B15-25,58,30,upper ,0.17,0.33,0.17,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.00,0.00,0.10
B15,B15-37.5,49,11,lower,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00
B15,B15-37.5,49,15,middle,0.40,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.13,0.07,0.00,0.00,0.00,0.00
B15,B15-37.5,49,23,upper ,0.26,0.00,0.13,0.09,0.09,0.00,0.00,0.00,0.09,0.04,0.00,0.00,0.00,0.17,0.00,0.00,0.13
B15,B15-50,43,10,lower,0.00,0.90,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B15,B15-50,43,13,middle,0.15,0.15,0.23,0.15,0.00,0.08,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00
B15,B15-50,43,20,upper ,0.50,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.10,0.00,0.05,0.10
B17,B17-0,46,13,lower,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00
B17,B17-0,46,13,middle,0.00,0.00,0.08,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00
B17,B17-0,46,19,upper ,0.00,0.00,0.37,0.16,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.05,0.00
B17,B17-12.5,50,13,lower,0.08,0.85,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B17,B17-12.5,50,20,middle,0.25,0.30,0.00,0.15,0.05,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
B17,B17-12.5,50,17,upper ,0.94,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B17,B17-25,39,15,lower,0.00,0.80,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00
B17,B17-25,39,7,middle,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00,0.00
B17,B17-25,39,17,upper ,0.88,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B17,B17-37.5,33,12,lower,0.00,0.50,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00
B17,B17-37.5,33,12,middle,0.75,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00
B17,B17-37.5,33,9,upper ,0.78,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B17,B17-50,17,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B17,B17-50,17,5,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
