"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.193893298059965,0.0392553474451788,599.999999993334,4.93928370728963,1.01803006811678e-06
"FunctionalGroup2Long-lived Graminoid",0.440608465608465,0.0555154447526399,599.999999993334,7.93668262177639,1.02394636134753e-14
"FunctionalGroup2Long-lived Woody",-0.0438932980599655,0.0555154447526399,599.999999993334,-0.790650210144957,0.429460533876601
"FunctionalGroup2Short-lived Forb",-0.17228835978836,0.0555154447526399,599.999999993334,-3.10343113625452,0.00200292587500774
"FunctionalGroup2Short-lived Graminoid",-0.193893298059965,0.0555154447526399,599.999999993334,-3.49260100362873,0.000513531464465957
"Bank_Locationmiddle",0.0421852398042867,0.0534960211331409,599.9999999979,0.788567802066924,0.430676110116422
"Bank_Locationupper",0.0274875368296414,0.0526665752206755,599.999999993801,0.521916162470548,0.60192131833152
"FunctionalGroup2Long-lived Graminoid:Bank_Locationmiddle",-0.201453837168122,0.0756547986194856,599.999999992645,-2.6628031644279,0.0079571823608261
"FunctionalGroup2Long-lived Woody:Bank_Locationmiddle",0.07494220946602,0.0756547986194856,599.999999992646,0.990581044871328,0.322289500110554
"FunctionalGroup2Short-lived Forb:Bank_Locationmiddle",-0.0446102838959974,0.0756547986194856,599.999999991809,-0.58965570869298,0.555643465552709
"FunctionalGroup2Short-lived Graminoid:Bank_Locationmiddle",-0.0398042874233342,0.0756547986194856,599.999999992645,-0.526130373084917,0.598992039753471
"FunctionalGroup2Long-lived Graminoid:Bank_Locationupper",0.00267818276590289,0.0744817849608221,599.999999993801,0.0359575534784999,0.971328163844669
"FunctionalGroup2Long-lived Woody:Bank_Locationupper",-0.0988163769304112,0.0744817849608221,599.999999993801,-1.32671870018138,0.185106459788536
"FunctionalGroup2Short-lived Forb:Bank_Locationupper",-0.0378496438584152,0.0744817849608221,599.999999993801,-0.508173157750239,0.611518686854881
"FunctionalGroup2Short-lived Graminoid:Bank_Locationupper",-0.00344984612528399,0.0744817849608221,599.999999993801,-0.0463179840158051,0.963072217290242
