Baseline,Transect,Total Hits,Location,Hit by loc,PG,PF,AF,AG,VF,BF,W,prop PG,prop PF,prop SLF,prop W,prop AG
B10,B10-0,25,lower,9,9,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B10,B10-0,25,middle,4,4,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B10,B10-0,25,upper,12,9,3,0,0,0,0,0,0.75,0.25,0.00,0.00,0.00
B10,B10-12.5,24,lower,4,3,0,0,0,1,0,0,0.75,0.00,0.25,0.00,0.00
B10,B10-12.5,24,middle,9,4,1,1,0,3,0,0,0.44,0.11,0.44,0.00,0.00
B10,B10-12.5,24,upper,11,9,1,0,0,0,1,0,0.82,0.09,0.09,0.00,0.00
B10,B10-25,19,lower,2,2,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B10,B10-25,19,middle,4,2,1,1,0,0,0,0,0.50,0.25,0.25,0.00,0.00
B10,B10-25,19,upper,13,12,0,0,0,0,1,0,0.92,0.00,0.08,0.00,0.00
B10,B10-37.5,27,lower,2,2,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B10,B10-37.5,27,middle,7,5,1,0,0,1,0,0,0.71,0.14,0.14,0.00,0.00
B10,B10-37.5,27,upper,18,8,10,0,0,0,0,0,0.44,0.56,0.00,0.00,0.00
B10,B10-50,6,lower,6,4,2,0,0,0,0,0,0.67,0.33,0.00,0.00,0.00
B10,B10-50,6,middle,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B10,B10-50,4,upper,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B13,B13-0,25,lower,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B13,B13-0,25,middle,7,4,0,0,0,0,0,3,0.57,0.00,0.00,0.43,0.00
B13,B13-0,25,upper,18,7,7,0,1,0,0,3,0.39,0.39,0.00,0.17,0.06
B13,B13-12.5,17,lower,3,0,2,0,0,1,0,0,0.00,0.67,0.33,0.00,0.00
B13,B13-12.5,17,middle,5,0,4,0,0,0,0,1,0.00,0.80,0.00,0.20,0.00
B13,B13-12.5,17,upper,9,2,7,0,0,0,0,0,0.22,0.78,0.00,0.00,0.00
B13,B13-25,3,lower,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B13,B13-25,3,middle,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B13,B13-25,3,upper,3,2,1,0,0,0,0,0,0.67,0.33,0.00,0.00,0.00
B13,B13-35.5,11,lower,3,0,0,0,0,0,0,3,0.00,0.00,0.00,1.00,0.00
B13,B13-35.5,11,middle,4,0,0,0,0,0,0,4,0.00,0.00,0.00,1.00,0.00
B13,B13-35.5,11,upper,4,4,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B13,B13-50,11,lower,1,0,0,0,0,0,0,1,0.00,0.00,0.00,1.00,0.00
B13,B13-50,11,middle,1,1,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B13,B13-50,11,upper,9,6,3,0,0,0,0,0,0.67,0.33,0.00,0.00,0.00
B14,B14-0,19,lower,1,1,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B14,B14-0,19,middle,4,0,3,0,0,0,0,1,0.00,0.75,0.00,0.25,0.00
B14,B14-0,19,upper,13,4,6,0,2,0,0,1,0.31,0.46,0.00,0.08,0.15
B14,B14-12.5,32,lower,8,8,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B14,B14-12.5,32,middle,12,7,5,0,0,0,0,0,0.58,0.42,0.00,0.00,0.00
B14,B14-12.5,32,upper,12,4,7,0,1,0,0,0,0.33,0.58,0.00,0.00,0.08
B14,B14-25,16,lower,2,1,0,1,0,0,0,0,0.50,0.00,0.50,0.00,0.00
B14,B14-25,16,middle,6,3,2,1,0,0,0,0,0.50,0.33,0.17,0.00,0.00
B14,B14-25,16,upper,8,6,2,0,0,0,0,0,0.75,0.25,0.00,0.00,0.00
B14,B14-36.5,19,lower,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B14,B14-36.5,19,middle,1,1,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B14,B14-36.5,19,upper,18,13,5,0,0,0,0,0,0.72,0.28,0.00,0.00,0.00
B14,B14-50,20,lower,3,2,0,1,0,0,0,0,0.67,0.00,0.33,0.00,0.00
B14,B14-50,20,middle,6,4,0,0,0,0,0,2,0.67,0.00,0.00,0.33,0.00
B14,B14-50,20,upper,11,6,4,0,0,0,0,1,0.55,0.36,0.00,0.09,0.00
B15,B15-0,18,lower,1,1,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B15,B15-0,18,middle,8,1,4,2,0,0,0,1,0.13,0.50,0.25,0.13,0.00
B15,B15-0,18,upper,9,5,4,0,0,0,0,0,0.56,0.44,0.00,0.00,0.00
B15,B15-14,40,lower,7,7,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B15,B15-14,40,middle,11,10,1,0,0,0,0,0,0.91,0.09,0.00,0.00,0.00
B15,B15-14,40,upper,22,9,4,2,5,2,0,0,0.41,0.18,0.18,0.00,0.23
B15,B15-25,31,lower,5,1,4,0,0,0,0,0,0.20,0.80,0.00,0.00,0.00
B15,B15-25,31,middle,12,11,1,0,0,0,0,0,0.92,0.08,0.00,0.00,0.00
B15,B15-25,31,upper,14,8,2,1,3,0,0,0,0.57,0.14,0.07,0.00,0.21
B15,B15-37.5,18,lower,6,6,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B15,B15-37.5,18,middle,8,5,3,0,0,0,0,0,0.63,0.38,0.00,0.00,0.00
B15,B15-37.5,18,upper,14,4,8,0,2,0,0,0,0.29,0.57,0.00,0.00,0.14
B15,B15-50,17,lower,5,3,0,0,0,2,0,0,0.60,0.00,0.40,0.00,0.00
B15,B15-50,17,middle,7,5,1,0,0,1,0,0,0.71,0.14,0.14,0.00,0.00
B15,B15-50,17,upper,12,4,5,0,2,1,0,0,0.33,0.42,0.08,0.00,0.17
B17,B17-0,22,lower,6,5,0,0,0,0,0,1,0.83,0.00,0.00,0.17,0.00
B17,B17-0,22,middle,7,2,0,0,0,0,0,5,0.29,0.00,0.00,0.71,0.00
B17,B17-0,22,upper,9,3,3,0,0,0,0,3,0.33,0.33,0.00,0.33,0.00
B17,B17-12.5,25,lower,6,6,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B17,B17-12.5,25,middle,10,5,4,0,1,0,0,0,0.50,0.40,0.00,0.00,0.10
B17,B17-12.5,25,upper,9,9,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B17,B17-25,18,lower,9,5,4,0,0,0,0,0,0.56,0.44,0.00,0.00,0.00
B17,B17-25,18,middle,4,1,3,0,0,0,0,0,0.25,0.75,0.00,0.00,0.00
B17,B17-25,18,upper,7,7,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B17,B17-37.5,10,lower,2,0,2,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00
B17,B17-37.5,10,middle,4,2,1,0,0,0,0,1,0.50,0.25,0.00,0.25,0.00
B17,B17-37.5,10,upper,4,3,1,0,0,0,0,0,0.75,0.25,0.00,0.00,0.00
