Baseline,Transect,Total Hits,Location,Hit by Loc,Bare,Litter,WoodDebris,Water,Rock,Prop Bare,Prop Litter,Prop WoodDebris,Prop Water,Prop Rock
B10,B10-0,129,lower,41,9,24,1,7,0,0.22,0.59,0.02,0.17,0.00
B10,B10-0,129,middle,39,0,39,0,0,0,0.00,1.00,0.00,0.00,0.00
B10,B10-0,129,upper,49,5,44,0,0,0,0.10,0.90,0.00,0.00,0.00
B10,B10-12.5,107,lower,30,3,20,0,7,0,0.10,0.67,0.00,0.23,0.00
B10,B10-12.5,107,middle,40,10,30,0,0,0,0.25,0.75,0.00,0.00,0.00
B10,B10-12.5,107,upper,37,0,37,0,0,0,0.00,1.00,0.00,0.00,0.00
B10,B10-25,126,lower,26,8,7,4,7,0,0.31,0.27,0.15,0.27,0.00
B10,B10-25,126,middle,36,26,10,0,0,0,0.72,0.28,0.00,0.00,0.00
B10,B10-25,126,upper,64,4,60,0,0,0,0.06,0.94,0.00,0.00,0.00
B10,B10-37.5,137,lower,29,10,17,0,2,0,0.34,0.59,0.00,0.07,0.00
B10,B10-37.5,137,middle,49,0,49,0,0,0,0.00,1.00,0.00,0.00,0.00
B10,B10-37.5,137,upper,59,0,59,0,0,0,0.00,1.00,0.00,0.00,0.00
B10,B10-50,79,lower,20,6,13,0,1,0,0.30,0.65,0.00,0.05,0.00
B10,B10-50,79,middle,20,1,19,0,0,0,0.05,0.95,0.00,0.00,0.00
B10,B10-50,79,upper,39,7,32,0,0,0,0.18,0.82,0.00,0.00,0.00
B13,B13-0,118,lower,20,8,0,11,1,0,0.40,0.00,0.55,0.05,0.00
B13,B13-0,118,middle,38,8,28,2,0,0,0.21,0.74,0.05,0.00,0.00
B13,B13-0,118,upper,60,6,54,0,0,0,0.10,0.90,0.00,0.00,0.00
B13,B13-12.5,93,lower,18,5,8,0,5,0,0.28,0.44,0.00,0.28,0.00
B13,B13-12.5,93,middle,33,4,29,0,0,0,0.12,0.88,0.00,0.00,0.00
B13,B13-12.5,93,upper,42,8,34,0,0,0,0.19,0.81,0.00,0.00,0.00
B13,B13-25,56,lower,10,10,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B13,B13-25,56,middle,17,5,11,0,1,0,0.29,0.65,0.00,0.06,0.00
B13,B13-25,56,upper,29,7,22,0,0,0,0.24,0.76,0.00,0.00,0.00
B13,B13-35.5,66,lower,18,17,0,0,1,0,0.94,0.00,0.00,0.06,0.00
B13,B13-35.5,66,middle,19,13,6,0,0,0,0.68,0.32,0.00,0.00,0.00
B13,B13-35.5,66,upper,29,2,27,0,0,0,0.07,0.93,0.00,0.00,0.00
B13,B13-50,82,lower,18,17,0,0,1,0,0.94,0.00,0.00,0.06,0.00
B13,B13-50,82,middle,21,13,7,1,0,0,0.62,0.33,0.05,0.00,0.00
B13,B13-50,82,upper,43,0,43,0,0,0,0.00,1.00,0.00,0.00,0.00
B14,B14-0,95,lower,24,3,9,10,2,0,0.13,0.38,0.42,0.08,0.00
B14,B14-0,95,middle,27,0,27,0,0,0,0.00,1.00,0.00,0.00,0.00
B14,B14-0,95,upper,40,0,40,0,0,0,0.00,1.00,0.00,0.00,0.00
B14,B14-12.5,155,lower,46,27,17,0,2,0,0.59,0.37,0.00,0.04,0.00
B14,B14-12.5,155,middle,57,3,54,0,0,0,0.05,0.95,0.00,0.00,0.00
B14,B14-12.5,155,upper,52,11,41,0,0,0,0.21,0.79,0.00,0.00,0.00
B14,B14-25,171,lower,53,52,0,0,1,0,0.98,0.00,0.00,0.02,0.00
B14,B14-25,171,middle,55,54,0,0,1,0,0.98,0.00,0.00,0.02,0.00
B14,B14-25,171,upper,63,27,36,0,0,0,0.43,0.57,0.00,0.00,0.00
B14,B14-36.5,127,lower,27,20,0,0,7,0,0.74,0.00,0.00,0.26,0.00
B14,B14-36.5,127,middle,43,24,8,1,10,0,0.56,0.19,0.02,0.23,0.00
