"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.228511766011766,0.0640353850057585,267.999999996782,3.56852334051269,0.000425222304451123
"Functional_Group_2Long-lived Graminoid",0.06220584970585,0.0905597099469264,268.000000000059,0.686904250712668,0.4927370039573
"Functional_Group_2Short-lived Forb",0.157095682095683,0.0905597099469264,267.999999996782,1.73471936016304,0.0839402364530168
"Functional_Group_2Short-lived Graminoid",-0.133348595848595,0.0905597099469264,268.000000000059,-1.47249362798032,0.142061020805593
"Bank_LocationMiddle",0.246660647781338,0.0971144697021106,267.999999996783,2.5398959448365,0.0116537850811069
"Bank_LocationUpper",0.137300966577283,0.0924271169268399,267.999999998354,1.48550524069643,0.138585370223054
"Functional_Group_2Long-lived Graminoid:Bank_LocationMiddle",-0.214944313349486,0.137340600155396,267.999999996782,-1.56504568282274,0.118752190197343
"Functional_Group_2Short-lived Forb:Bank_LocationMiddle",-0.446124459831357,0.137340600155396,267.999999999632,-3.24830719631765,0.00130895507316205
"Functional_Group_2Short-lived Graminoid:Bank_LocationMiddle",-0.325573817944508,0.137340600155396,267.999999999632,-2.37055770526802,0.0184691825134596
"Functional_Group_2Long-lived Graminoid:Bank_LocationUpper",-0.274473260657471,0.130711682288981,267.999999998354,-2.09983725900382,0.0366781035468463
"Functional_Group_2Short-lived Forb:Bank_LocationUpper",-0.267703127160364,0.130711682288981,267.999999998355,-2.04804285640299,0.0415302489436761
"Functional_Group_2Short-lived Graminoid:Bank_LocationUpper",-0.00702747849129442,0.130711682288981,267.999999995209,-0.0537632013315985,0.957163882769298
