"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.0899250440917125,0.0446507769936843,599.99999999838,2.01396370111167,0.0444592038832405
"WIS_GPFACU",0.192791005291003,0.063145734394965,599.99999999838,3.05311209281582,0.00236509534279203
"WIS_GPFACW",0.339638447971779,0.063145734394965,599.999999990837,5.37864435699494,1.0769048896951e-07
"WIS_GPOBL",0.0125440917107565,0.063145734394965,599.99999999838,0.198653033826411,0.842601458369457
"WIS_GPUPL",0.00540123456789906,0.063145734394965,599.99999999838,0.0855360163224221,0.931863797575111
"Bank_Locationmiddle",0.0482312440645755,0.0608487522114305,599.999999997791,0.792641464478794,0.428300038843045
"Bank_Locationupper",-0.0658022370741686,0.0599053035636371,599.99999999125,-1.09843758665319,0.272454040371195
"WIS_GPFACU:Bank_Locationmiddle",0.0374251409965716,0.0860531306308849,599.999999994417,0.434907373179745,0.663786042767272
"WIS_GPFACW:Bank_Locationmiddle",-0.286167580215197,0.0860531306308849,599.999999994418,-3.32547553025909,0.00093654414943554
"WIS_GPOBL:Bank_Locationmiddle",-0.105215771882437,0.0860531306308849,599.999999994396,-1.22268383626562,0.22192918344678
"WIS_GPUPL:Bank_Locationmiddle",0.112801990778184,0.0860531306308849,599.999999994417,1.310841220432,0.190412903519564
"WIS_GPFACU:Bank_Locationupper",0.17376874749682,0.084718892757773,599.99999999125,2.05112156025996,0.0406888112025489
"WIS_GPFACW:Bank_Locationupper",-0.341739449634185,0.0847188927577729,599.999999996128,-4.03380448575126,6.19689362024546e-05
"WIS_GPOBL:Bank_Locationupper",-0.0366668987283004,0.0847188927577729,599.999999996128,-0.432806633027392,0.665310782216892
"WIS_GPUPL:Bank_Locationupper",0.533648786236508,0.084718892757773,599.99999999125,6.29905288968198,5.79465429171066e-10
