Org_trayID,Full_TrayID,Baseline,TrayID,Transect_ID,Bank_Gradient,Germinant ID,Family,Genus,Species,Specific Epithet_wconservative cf,SPECIFIC_EPITHET_FINAL,WIS_Grouped,WIS,Longevity_1,Longevity_2,Habit,Functional_Group_1,Functional_Group_2,Origin,Cultivar_Noxious,C_Value,C_Value_2
40,B13_0_MIDDLE,B13,0,B13_0,MIDDLE,G4,Amaranthaceae,Kochia,scoparia,Kochia scoparia,Kochia scoparia,FACU-UPL,FACU,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Introduced,NA,NA,NA
18,B14_50_BOTTOM,B14,50,B14_50,BOTTOM,G1,Asteraceae,Bidens,frondosa,Bidens frondosa,Bidens frondosa,FACW-OBL,FACW,Annual,Short-lived,Forb,Annual Forb,Short-lived Forb,Native,NA,3,3
38,B10_25_MIDDLE,B10,25,B10_25,MIDDLE,G1,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
65,B10_25_TOP,B10,25,B10_25,TOP,G4,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
65,B10_25_TOP,B10,25,B10_25,TOP,G5,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
70,B14_0_TOP,B14,0,B14_0,TOP,G4,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
70,B14_0_TOP,B14,0,B14_0,TOP,G5,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
73,B15_0_TOP,B15,0,B15_0,TOP,G1,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
73,B15_0_TOP,B15,0,B15_0,TOP,G10,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
73,B15_0_TOP,B15,0,B15_0,TOP,G2,Poaceae,Bromus,tectorum,Bromus tectorum,Bromus tectorum,FACU-UPL,UPL,Annual,Short-lived,Graminoid,Annual Graminoid,Short-lived Graminoid,Introduced,List C,0,0
