Baseline,Transect,Total Hits,Hit by Loc,Location,caremo,prop caremo,elyrep,prop elyrep,conarv,prop conarv,broine,prop broine,cirarv,prop cirarv,phaaru,prop phaaru,taroff,prop taroff,dacglo,prop dacglo,symlan,prop symlan,symocc,prop symocc,brotec,prop brotec,rhacat,prop rhacat,medsat,prop medsat,pruvir,prop pruvir,rumcri,prop rumcri,scharu,prop scharu
B10,B10-0,25,12,upper ,0,0,9,0.75,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-12.5,18,10,upper ,0,0,0,0,0,0,9,0.9,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-25,17,2,lower,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-25,17,3,middle,0,0,0,0,0,0,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-25,17,12,upper ,0,0,2,0.166666667,0,0,5,0.416666667,0,0,0,0,0,0,5,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-37.5,24,2,lower,0,0,1,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-37.5,24,6,middle,0,0,5,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-37.5,24,16,upper ,0,0,8,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,B10-50,5,5,upper ,0,0,3,0.6,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-0,23,7,middle,0,0,0,0,0,0,0,0,0,0,4,0.571428571,0,0,0,0,0,0,3,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-0,23,16,upper ,0,0,7,0.4375,1,0.0625,0,0,1,0.0625,0,0,0,0,0,0,3,0.1875,3,0.1875,1,0.0625,0,0,0,0,0,0,0,0,0,0
B13,B13-12.5,13,2,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-12.5,13,3,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.666666667,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0
B13,B13-12.5,13,8,upper ,0,0,2,0.25,2,0.25,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0
B13,B13-25,3,3,upper ,0,0,0,0,0,0,2,0.666666667,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-35.5,9,3,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
B13,B13-35.5,9,2,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
B13,B13-35.5,9,4,upper ,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-50,11,1,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
B13,B13-50,11,1,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,B13-50,11,9,upper ,0,0,0,0,2,0.222222222,6,0.666666667,0,0,0,0,1,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-0,18,1,lower,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-0,18,5,middle,0,0,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1,0.2,0,0
B14,B14-0,18,12,upper ,0,0,4,0.333333333,0,0,0,0,5,0.416666667,0,0,0,0,0,0,0,0,0,0,1,0.083333333,0,0,1,0.083333333,1,0.083333333,0,0,0,0
B14,B14-12.5,29,8,lower,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-12.5,29,10,middle,0,0,5,0.5,0,0,0,0,3,0.3,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-12.5,29,11,upper ,0,0,4,0.363636364,1,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091,0,0,1,0.090909091,0,0,4,0.363636364,0,0
B14,B14-25,13,5,middle,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0,0
B14,B14-25,13,8,upper ,0,0,0,0,0,0,3,0.375,0,0,0,0,1,0.125,3,0.375,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,0,0
B14,B14-36.5,19,1,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-36.5,19,18,upper ,0,0,0,0,0,0,9,0.5,0,0,0,0,4,0.222222222,4,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,1,0.055555556,0,0
B14,B14-50,19,2,lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,B14-50,19,6,middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.666666667,0,0,0,0,0,0,2,0.333333333,0,0,0,0,0,0,0,0
B14,B14-50,19,11,upper ,0,0,4,0.363636364,0,0,0,0,0,0,0,0,4,0.363636364,2,0.181818182,0,0,0,0,0,0,1,0.090909091,0,0,0,0,0,0,0,0
B15,B15-0,15,1,lower,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-0,15,5,middle,0,0,0,0,0,0,0,0,0,0,1,0.2,2,0.4,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0
B15,B15-0,15,9,upper ,0,0,5,0.555555556,1,0.111111111,0,0,1,0.111111111,0,0,0,0,0,0,1,0.111111111,0,0,0,0,0,0,1,0.111111111,0,0,0,0,0,0
B15,B15-14,35,7,lower,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-14,35,10,middle,0,0,0,0,0,0,1,0.1,0,0,9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,B15-14,35,18,upper ,0,0,7,0.388888889,2,0.111111111,2,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,5,0.277777778,0,0,2,0.111111111,0,0,0,0,0,0
