Baseline,Transect,Location,Total Hits,Hits by Loc,Introduced,Native,Prop intro,Prop native
B10,B10-0,lower,25,9,0,9,0,1
B10,B10-0,middle,25,4,1,3,0.25,0.75
B10,B10-0,upper,25,12,12,0,1,0
B10,B10-12.5,lower,24,4,1,3,0.25,0.75
B10,B10-12.5,middle,24,9,5,4,0.555555556,0.444444444
B10,B10-12.5,upper,24,11,11,0,1,0
B10,B10-25,lower,19,2,0,2,0,1
B10,B10-25,middle,19,4,2,2,0.5,0.5
B10,B10-25,upper,19,13,13,0,1,0
B10,B10-37.5,lower,27,2,1,1,0.5,0.5
B10,B10-37.5,middle,27,7,6,1,0.857142857,0.142857143
B10,B10-37.5,upper,27,18,16,2,0.888888889,0.111111111
B10,B10-50,lower,6,0,0,0,0,0
B10,B10-50,middle,6,0,0,0,0,0
B10,B10-50,upper,6,6,6,0,1,0
B13,B13-0,lower,25,0,0,0,0,0
B13,B13-0,middle,25,7,0,7,0,1
B13,B13-0,upper,25,18,10,8,0.555555556,0.444444444
B13,B13-12.5,lower,17,3,1,2,0.333333333,0.666666667
B13,B13-12.5,middle,17,5,2,3,0.4,0.6
B13,B13-12.5,upper,17,9,9,0,1,0
B13,B13-25,lower,3,0,0,0,0,0
B13,B13-25,middle,3,0,0,0,0,0
B13,B13-25,upper,3,3,3,0,1,0
B13,B13-35.5,lower,11,3,3,0,1,0
B13,B13-35.5,middle,11,4,2,2,0.5,0.5
B13,B13-35.5,upper,11,4,4,0,1,0
B13,B13-50,lower,11,1,1,0,1,0
B13,B13-50,middle,11,1,1,0,1,0
B13,B13-50,upper,11,9,9,0,1,0
B14,B14-0,lower,19,1,0,1,0,1
B14,B14-0,middle,19,5,3,2,0.6,0.4
B14,B14-0,upper,19,13,12,1,0.923076923,0.076923077
B14,B14-12.5,lower,32,8,0,8,0,1
B14,B14-12.5,middle,32,12,10,2,0.833333333,0.166666667
B14,B14-12.5,upper,32,12,12,0,1,0
B14,B14-25,lower,16,2,0,2,0,1
B14,B14-25,middle,16,6,6,0,1,0
B14,B14-25,upper,16,8,8,0,1,0
B14,B14-36.5,lower,19,0,0,0,0,0
