"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.219051273452685,0.0545330353067775,402.000000001714,4.01685459502491,7.03978757560098e-05
"WISFACU",-0.0668723896784602,0.0771213581282156,402.000000002268,-0.867105965215028,0.386401224287399
"WISFACW",0.0412018807603822,0.0771213581282156,401.99999999888,0.534247344190742,0.593465735740238
"WISJuncus sp.*",-0.112494526660294,0.0771213581282156,401.99999999888,-1.45866890042665,0.145437120426197
"WISOBL",-0.0175919421856617,0.0771213581282156,402.000000002268,-0.228107266425661,0.819678831171402
"WISUPL",-0.158550662952075,0.0771213581282156,401.99999999888,-2.05585932094818,0.0404413427569022
"Bank_LocationMiddle",-0.118788668410668,0.0827034428634718,402.000000001557,-1.43632071770901,0.151688832758109
"Bank_LocationUpper",-0.065957839109251,0.0787116565352384,401.999999999413,-0.837967869215436,0.402546686513351
"WISFACU:Bank_LocationMiddle",0.344741697658062,0.11696033055247,402.000000001572,2.94750960457833,0.00339017715822411
"WISFACW:Bank_LocationMiddle",0.00128828838419873,0.11696033055247,402.000000001571,0.0110147464367911,0.991217145693074
"WISJuncus sp.*:Bank_LocationMiddle",0.170998261487558,0.11696033055247,402.000000002055,1.46201930757066,0.1445171928879
"WISOBL:Bank_LocationMiddle",0.0926094491884629,0.11696033055247,402.000000001556,0.791802218333479,0.428942967752405
"WISUPL:Bank_LocationMiddle",0.103094313745726,0.11696033055247,402.000000002055,0.881446839785356,0.37860271916355
"WISFACU:Bank_LocationUpper",0.407197515941087,0.111315092188987,401.999999999945,3.65806206448413,0.000287947963725787
"WISFACW:Bank_LocationUpper",-0.176239759548261,0.111315092188987,402.000000002664,-1.58325125625416,0.114150570281258
"WISJuncus sp.*:Bank_LocationUpper",0.0104111933269607,0.111315092188987,401.999999999411,0.0935290365594352,0.925529878799896
"WISOBL:Bank_LocationUpper",-0.0946870982183785,0.111315092188987,401.999999999945,-0.850622286307969,0.395485564850531
"WISUPL:Bank_LocationUpper",0.249065183154095,0.111315092188987,402.000000002664,2.2374790179506,0.0258023164337124
