Baseline,Transect,Total Hits,Hits by Loc,Location,UPL,FACU,FAC,FACW,OBL,Prop UPL,Prop FACU,Prop FAC,Prop FACW,Prop OBL
B10,B10-0,22,9,lower,0,0,0,0,9,0.00,0.00,0.00,0.00,1.00
B10,B10-0,22,4,middle,0,0,1,0,3,0.00,0.00,0.25,0.00,0.75
B10,B10-0,22,9,upper,1,0,8,0,0,0.11,0.00,0.89,0.00,0.00
B10,B10-12.5,20,3,lower,0,0,0,0,3,0.00,0.00,0.00,0.00,1.00
B10,B10-12.5,20,9,middle,0,2,3,0,4,0.00,0.22,0.33,0.00,0.44
B10,B10-12.5,20,9,upper,8,1,0,0,0,0.89,0.11,0.00,0.00,0.00
B10,B10-25,19,2,lower,0,0,0,2,0,0.00,0.00,0.00,1.00,0.00
B10,B10-25,19,4,middle,0,2,0,2,0,0.00,0.50,0.00,0.50,0.00
B10,B10-25,19,13,upper,5,6,2,0,0,0.38,0.46,0.15,0.00,0.00
B10,B10-37.5,16,2,lower,0,0,1,1,0,0.00,0.00,0.50,0.50,0.00
B10,B10-37.5,16,5,middle,1,0,3,0,1,0.20,0.00,0.60,0.00,0.20
B10,B10-37.5,16,9,upper,4,1,4,0,0,0.44,0.11,0.44,0.00,0.00
B10,B10-50,4,0,lower,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B10,B10-50,4,4,upper,1,0,3,0,0,0.25,0.00,0.75,0.00,0.00
B10,B10-50,4,0,middle,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B13,B13-0,16,6,middle,0,0,3,3,0,0.00,0.00,0.50,0.50,0.00
B13,B13-0,16,10,upper,1,1,6,0,2,0.10,0.10,0.60,0.00,0.20
B13,B13-0,16,0,lower,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B13,B13-12.5,12,3,lower,0,1,0,0,2,0.00,0.33,0.00,0.00,0.67
B13,B13-12.5,12,4,middle,0,2,0,0,2,0.00,0.50,0.00,0.00,0.50
B13,B13-12.5,12,5,upper,4,0,1,0,0,0.80,0.00,0.20,0.00,0.00
B13,B13-25,2,2,upper,2,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B13,B13-25,2,0,lower,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B13,B13-25,2,0,middle,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
B13,B13-35.5,11,3,lower,0,3,0,0,0,0.00,1.00,0.00,0.00,0.00
B13,B13-35.5,11,4,middle,2,2,0,0,0,0.50,0.50,0.00,0.00,0.00
B13,B13-35.5,11,4,upper,4,0,0,0,0,1.00,0.00,0.00,0.00,0.00
B13,B13-50,9,1,lower,0,1,0,0,0,0.00,1.00,0.00,0.00,0.00
B13,B13-50,9,1,middle,0,1,0,0,0,0.00,1.00,0.00,0.00,0.00
B13,B13-50,9,7,upper,6,1,0,0,0,0.86,0.14,0.00,0.00,0.00
B14,B14-0,13,1,lower,0,0,0,1,0,0.00,0.00,0.00,1.00,0.00
